ID,Name,unknown_0,patternId,attachId,smallBaseMapId,mapIndex,variationId,unknown_0x12,modifier
1609,,0,30,309,4664,0,1,0,0
1655,,0,31,309,4664,0,2,0,0
3456,,0,71,309,4664,0,3,0,0
7272,,0,154,315,4664,0,1,0,0
1822,,0,34,316,4664,0,2,0,0
5281,,0,112,316,4664,0,3,0,0
7224,,0,153,316,4664,1,1,0,0
10839,,0,233,316,4664,0,2,0,0
14396,,0,312,316,4664,0,3,0,0
5385,,0,114,317,4664,0,1,0,0
8901,,0,191,317,4664,1,2,0,0
12492,,0,270,317,4664,0,3,0,0
1702,,0,32,318,4664,0,1,0,0
3557,,0,73,318,4664,0,2,0,0
3606,,0,74,318,4664,0,3,0,0
12587,,0,272,318,4664,0,1,0,0
14346,,0,311,318,4664,0,2,0,0
3413,,0,70,319,4664,0,3,0,0
5329,,0,113,319,4664,0,1,0,0
7077,,0,150,320,4664,0,2,0,0
7128,,0,151,320,4664,0,3,0,0
10736,,0,231,320,4664,0,1,0,0
12639,,0,273,320,4664,0,2,0,0
8852,,0,190,322,4664,0,3,0,0
10688,,0,230,322,4664,0,1,0,0
14300,,0,310,322,4664,0,2,0,0
14446,,0,313,322,4664,0,3,0,0
2518,,0,49,750,4664,0,1,0,0
3012,,0,59,750,4664,0,2,0,0
8995,,0,193,750,4664,0,3,0,0
11584,,0,249,750,4664,0,1,0,0
13014,,0,282,750,4664,0,2,0,0
13210,,0,286,750,4664,0,3,0,0
13970,,0,301,750,4664,0,1,0,0
2076,,0,40,753,4664,0,2,0,0
2856,,0,56,753,4664,0,3,0,0
4680,,0,97,753,4664,0,1,0,0
6299,,0,134,753,4664,0,2,0,0
7867,,0,167,753,4664,0,3,0,0
9772,,0,209,753,4664,0,1,0,0
13258,,0,287,753,4664,0,2,0,0
4033,,0,84,754,4664,0,3,0,0
6495,,0,137,754,4664,0,1,0,0
8787,,0,188,754,4664,0,2,0,0
11640,,0,250,754,4664,0,3,0,0
13061,,0,283,754,4664,0,1,0,0
14505,,0,314,754,4664,0,2,0,0
827,,0,12,755,4664,0,3,0,0
922,,0,14,755,4664,0,1,0,0
1407,,0,25,755,4664,0,2,0,0
3303,,0,67,755,4664,0,3,0,0
3886,,0,81,755,4664,0,1,0,0
10407,,0,223,755,4664,0,2,0,0
10556,,0,227,755,4664,0,3,0,0
11685,,0,251,755,4664,0,1,0,0
12918,,0,280,755,4664,0,2,0,0
13107,,0,284,755,4664,0,3,0,0
13782,,0,297,755,4664,0,1,0,0
13885,,0,299,755,4664,0,2,0,0
14082,,0,304,755,4664,0,3,0,0
20,,0,0,756,4664,0,1,0,0
163,,0,2,756,4664,0,2,0,0
1061,,0,17,756,4664,0,3,0,0
1436,,0,26,756,4664,0,1,0,0
1470,,0,27,756,4664,0,2,0,0
2268,,0,44,756,4664,0,3,0,0
2418,,0,47,756,4664,0,1,0,0
2655,,0,52,756,4664,0,2,0,0
3374,,0,69,756,4664,0,3,0,0
3928,,0,82,756,4664,0,1,0,0
4517,,0,94,756,4664,0,2,0,0
4573,,0,95,756,4664,0,3,0,0
5010,,0,105,756,4664,0,1,0,0
6932,,0,146,756,4664,0,2,0,0
7575,,0,161,756,4664,0,3,0,0
8155,,0,173,756,4664,0,1,0,0
8453,,0,179,756,4664,0,2,0,0
8608,,0,183,756,4664,0,3,0,0
8741,,0,187,756,4664,0,1,0,0
9958,,0,213,756,4664,0,2,0,0
10786,,0,232,756,4664,0,3,0,0
11194,,0,241,756,4664,0,1,0,0
12170,,0,261,756,4664,0,2,0,0
12348,,0,266,756,4664,0,3,0,0
14044,,0,303,756,4664,0,1,0,0
14145,,0,306,756,4664,0,2,0,0
450,,0,6,758,4664,0,3,0,0
1965,,0,37,758,4664,0,1,0,0
6346,,0,135,758,4664,0,2,0,0
7445,,0,158,758,4664,0,3,0,0
9198,,0,198,758,4664,0,1,0,0
9235,,0,199,758,4664,0,2,0,0
10887,,0,234,758,4664,0,3,0,0
11023,,0,237,758,4664,0,1,0,0
497,,0,7,759,4664,0,2,0,0
781,,0,11,759,4664,0,3,0,0
4285,,0,89,759,4664,0,1,0,0
5193,,0,110,759,4664,0,2,0,0
8063,,0,171,759,4664,0,3,0,0
8948,,0,192,759,4664,0,1,0,0
9040,,0,194,759,4664,0,2,0,0
9165,,0,197,759,4664,0,3,0,0
10008,,0,214,759,4664,0,1,0,0
